occupation,daily_income,work_days_per_month,monthly_transactions,savings_ratio,income_min,income_max,digital_payment_ratio,loan_history,financial_stability,income_consistency,monthly_income
1,0.4076527062752191,0.5,0.41860465116279066,0.469,0.34703357293017284,0.501517360974264,0.3989247311827958,1,1,0.3730963117685848,0.28819156577501237
3,0.39771810212884373,0.8,0.872093023255814,0.664,0.31470688201009583,0.5135380128483034,0.3526881720430108,1,1,0.21365824804700217,0.3770494924406982
0,0.2500347850285237,0.9000000000000001,0.46511627906976744,0.322,0.25176550560807665,0.2999476383782536,0.9774193548387099,0,1,0.7006380136042469,0.2801329260166331
2,0.25853902880200363,0.9500000000000002,0.06976744186046513,0.16125,0.2066994801042309,0.26806335193203124,0.058064516129032254,0,1,0.595597051142341,0.29904926743572213
4,0.21958536245999724,0.6000000000000001,0.12790697674418605,0.2435,0.16622817507773263,0.28274712714865635,0.2666666666666667,0,0,0.2769678220064997,0.1918198575545421
4,0.29664672325031305,0.7000000000000002,0.22093023255813954,0.06875,0.23501051120985916,0.3771275427760668,0.23333333333333336,0,0,0.28354308363601066,0.2699350081780655
4,0.19051064421872824,0.7000000000000002,0.06976744186046513,0.26925,0.14550157982854772,0.24246246009537697,0.0924731182795699,1,0,0.33085271711748976,0.1907194101408012
3,0.5936106859607624,0.7000000000000002,0.3255813953488372,0.45575,0.48690189957073987,0.7526391946444759,0.5473118279569894,1,1,0.23465719800890428,0.491576679099634
2,0.259290385418116,0.0,0.10465116279069767,0.0,0.17422802401842924,0.26806335193203124,0.178494623655914,1,0,0.3925824890949883,0.08056908950871028
0,0.5915291498539029,0.7000000000000002,0.34883720930232553,0.4445,0.47199108750110147,0.7617602513357844,0.9870967741935486,0,2,0.17561920464113023,0.49002310628023515
4,0.23897592876026155,0.15000000000000002,0.15116279069767444,0.13899999999999998,0.2121942622641272,0.2808609827094043,0.0946236559139785,0,0,0.5634750094454446,0.10696026931364827
3,0.8341839432308333,0.8500000000000001,0.43023255813953487,0.58975,0.8235123805687383,0.938269589158329,0.2666666666666667,1,2,0.7142532120195446,0.7593691206632455
3,0.8815138444413524,0.75,0.4883720930232558,0.45375,0.8584385503342187,1.0,0.4741935483870969,1,2,0.6701859155817627,0.7373404411828339
4,0.17464867121191038,0.8,0.08139534883720931,0.298,0.128085700978109,0.2259544735404902,0.13440860215053763,1,0,0.29403918873456436,0.19668550362171472
4,0.14259635452901068,1.0,0.24418604651162792,0.30775,0.12713528619443853,0.16194379852599222,0.1795698924731183,0,1,0.6810348681464335,0.20239197597639177
4,0.2949158202309726,0.4,0.22093023255813954,0.17225000000000001,0.261968302722844,0.34951664029817975,0.05053763440860215,0,0,0.5258238520767271,0.19278807127465322
1,0.7254932517044663,0.3500000000000001,0.36046511627906974,0.53825,0.6105754100630671,0.7747887236713942,0.6021505376344086,0,1,0.5306891558760822,0.4077792874265489
2,0.027405036872130223,0.3500000000000001,0.09302325581395349,0.16424999999999998,0.015112224474124802,0.029097296901655884,0.11720430107526883,1,0,0.7554738056978028,0.038720414009155976
2,0.18979268122999857,0.20000000000000007,0.10465116279069767,0.27125,0.11731643147572351,0.26621661946613673,0.07849462365591399,0,0,0.043924110033476405,0.09644994071984284
1,0.5637957423125086,0.6500000000000001,0.24418604651162792,0.43075,0.424187112123768,0.7484164832133147,0.46774193548387105,1,1,0.06623854639048066,0.44831981861137316
2,0.25260052873243355,0.20000000000000007,0.15116279069767444,0.18225000000000002,0.18218381399564448,0.26806335193203124,0.0913978494623656,1,0,0.4423228276156035,0.12379496854257355
4,0.23992764714067064,0.55,0.1744186046511628,0.0,0.22871637356965724,0.2680014188310409,0.07956989247311828,0,0,0.7335971541933402,0.1948048081832579
1,0.2946764992347294,0.6500000000000001,0.26744186046511625,0.6687500000000001,0.27566434622792335,0.33677531233988883,0.3129032258064517,1,1,0.6540616999238937,0.25582944622813775
1,0.4396048420759704,0.30000000000000004,0.40697674418604646,0.38899999999999996,0.3333375294250935,0.5784101209947583,0.5096774193548388,0,1,0.12251638023180411,0.23949633501510129
2,0.03689995825796577,0.20000000000000007,0.16279069767441862,0.11374999999999999,0.0,0.06731565049462027,0.06451612903225808,0,0,0.12034258125742503,0.029884122437323135
0,0.7334520662306943,0.75,0.5116279069767442,0.34675,0.5565905915230553,0.887394361835697,0.8731182795698926,1,1,0.1756068773922339,0.6222287608283645
4,0.1505551690552386,0.9500000000000002,0.24418604651162792,0.19224999999999998,0.12418962977882403,0.18068137671653217,0.29139784946236563,0,1,0.5251332473334653,0.2016639983384248
2,0.24166968136913872,0.55,0.15116279069767444,0.04725,0.21926257883407396,0.26806335193203124,0.07634408602150537,0,0,0.6741427122872372,0.19594246795842601
2,0.12341171559760677,0.4,0.011627906976744186,0.0795,0.07386799934540969,0.17077771083998178,0.07741935483870968,1,0,0.17442894921001728,0.09678537121494032
4,0.226948657297899,0.45000000000000007,0.20930232558139536,0.063,0.15099006785080377,0.31127013529567427,0.24623655913978496,0,0,0.07627466816860906,0.16527100118560317
2,0.19479615973285094,0.4,0.10465116279069767,0.23199999999999998,0.15752338272133337,0.24037925578933744,0.007526881720430107,0,0,0.42200860433725973,0.13674417799624414
4,0.381115903715041,0.9500000000000002,0.24418604651162792,0.20049999999999998,0.32873651481010585,0.3806689900963341,0.26344086021505386,0,1,0.7269568428250792,0.40959525066419744
4,0.3105106442187282,0.3500000000000001,0.03488372093023256,0.2485,0.22123893805309736,0.3806689900963341,0.25698924731182804,1,1,0.20422418713265622,0.1883900893962078
3,0.9023514679282036,0.75,0.5813953488372092,0.4005,0.7959314694293735,1.0,0.4720430107526883,0,2,0.5334058873799894,0.7535407994599881
3,0.4255683873660776,0.7000000000000002,0.5813953488372092,0.5525,0.32045342967560014,0.5615417963977456,0.403225806451613,1,1,0.1157500082942613,0.366156828468322
0,0.795258104911646,0.8,0.41860465116279066,0.40700000000000003,0.734601392263246,0.887394361835697,0.660215053763441,0,2,0.6084169063254656,0.6984826010575235
1,0.4554000278280227,0.5,0.24418604651162792,0.34424999999999994,0.4220596936013797,0.5310087776094949,0.8322580645161293,0,1,0.5711119551620898,0.31788876100144525
4,0.06949213858355363,0.75,0.3023255813953488,0.15725,0.021953952089024287,0.10813519432918009,0.34946236559139787,1,0,0.07174266151026587,0.1060284025512103
0,0.28689578405454286,0.6000000000000001,0.3837209302325581,0.36624999999999996,0.25176550560807665,0.37549476102268436,0.7419354838709679,0,1,0.3716121027167725,0.23787110676486115
2,0.11889801029636843,0.55,0.11627906976744187,0.15125,0.10732134090308287,0.13172044524269333,0.08387096774193549,0,0,0.7454459447284993,0.11576471402732946
4,0.18552386252956724,0.9000000000000001,0.10465116279069767,0.0,0.1503921247749846,0.2279982658731723,0.12258064516129033,0,0,0.43902035009160434,0.22395991449810912
2,0.03943787393905662,0.6000000000000001,0.05813953488372093,0.028,0.00805020204181825,0.05975418189188733,0.07849462365591399,0,0,0.2923752765210701,0.06856974721556343
